
 Sim No:, 1,, N:, 1.0,, d:, 0.13 
Step No:, 59,, N_bact:, 430,, N_food:,0 
 
Symbol:, pos x:, pos y: 
H,8.45,5.10
H,4.64,1.40
H,0.83,4.98
H,9.54,3.93
H,9.83,6.51
H,7.93,6.28
H,5.82,7.71
H,7.54,0.83
H,2.11,5.84
H,5.63,3.03
H,0.21,4.97
H,3.27,8.93
H,3.74,2.20
H,4.21,0.80
H,8.24,5.03
H,4.11,4.96
H,8.69,5.30
H,1.57,7.58
H,1.66,5.32
H,6.57,9.50
H,9.42,6.88
H,0.69,0.17
H,4.88,2.02
H,0.97,5.00
H,2.74,6.73
H,8.59,4.94
H,4.00,4.95
H,1.07,4.97
H,0.55,5.24
H,4.31,5.14
H,5.65,1.38
H,0.03,5.01
H,5.82,9.50
H,6.77,5.03
H,3.83,9.66
H,8.05,1.75
H,2.65,4.94
H,2.69,4.97
H,0.84,4.98
H,7.69,3.45
H,5.59,6.11
H,1.17,7.39
H,9.02,7.17
H,7.35,5.92
H,2.67,9.10
H,5.49,4.93
H,5.50,4.93
H,2.72,4.97
H,7.49,4.80
H,7.31,5.47
H,4.77,5.93
H,9.96,5.01
H,2.63,1.06
H,4.82,4.94
H,0.93,9.46
H,2.58,9.79
H,5.92,4.53
H,5.24,0.45
H,4.69,5.33
H,3.42,6.07
H,6.96,4.93
H,3.40,5.04
H,0.02,4.94
H,2.93,0.52
H,8.31,4.98
H,5.74,0.42
H,1.23,0.40
H,3.50,6.70
H,3.13,5.03
H,4.23,5.03
H,5.32,4.95
H,1.18,5.04
H,1.61,6.75
H,7.16,0.46
H,1.77,3.41
H,6.01,5.04
H,5.79,4.30
H,6.02,8.43
H,2.70,4.97
H,3.88,2.58
H,2.51,3.20
H,2.33,7.56
H,5.76,2.75
H,4.00,5.00
H,5.50,5.02
H,6.00,7.41
H,8.95,4.99
H,0.29,7.70
H,1.79,6.47
H,1.82,9.59
H,6.52,7.22
H,2.08,0.71
H,8.75,5.94
H,2.76,4.98
H,7.65,1.97
H,1.36,8.07
H,2.32,2.87
H,1.06,0.82
H,8.46,1.12
H,2.43,1.42
H,2.06,1.37
H,2.99,3.43
H,1.04,4.95
H,1.94,4.08
H,3.14,5.03
H,1.91,6.17
H,9.40,4.48
H,0.95,1.11
H,8.35,8.17
H,2.33,4.99
H,2.11,5.97
H,2.71,4.97
H,0.64,3.60
H,3.14,5.03
H,5.47,1.22
H,8.82,5.23
H,9.76,5.01
H,1.96,0.36
H,6.71,1.69
H,1.52,4.93
H,0.39,0.61
H,3.14,5.03
H,5.71,9.82
H,3.39,4.83
H,7.36,9.77
H,9.94,5.01
H,3.45,3.84
H,1.31,2.76
H,9.11,5.04
H,1.96,8.14
H,4.11,5.02
H,0.47,0.22
H,7.06,4.98
H,6.42,2.13
H,4.41,5.01
H,5.49,5.02
H,5.74,9.04
H,3.98,3.57
H,9.34,3.78
H,5.81,4.33
H,7.83,4.40
H,4.83,4.94
H,0.49,1.34
H,9.36,3.80
H,1.95,6.75
H,6.85,7.03
H,3.93,7.38
H,4.84,9.34
H,0.83,9.61
H,8.06,5.47
H,2.40,5.73
H,1.56,4.53
H,8.18,6.50
H,9.81,1.81
H,8.52,1.54
H,5.91,1.31
H,6.23,3.61
H,2.20,2.53
H,4.74,5.92
H,2.50,8.86
H,1.64,5.03
H,3.50,0.83
H,2.02,5.39
H,3.64,9.31
H,9.32,9.70
H,8.36,1.46
H,3.80,4.69
H,9.66,5.05
H,4.72,5.02
H,6.94,4.93
H,0.79,3.87
H,3.89,7.74
H,2.37,2.09
H,8.18,7.31
H,8.94,6.19
H,1.97,6.38
H,4.65,4.97
H,8.35,9.49
H,2.93,7.31
H,6.41,4.94
H,6.21,4.94
H,2.18,7.91
H,5.86,0.60
H,1.64,5.03
H,5.49,5.02
H,0.55,0.94
H,1.00,5.00
H,2.40,8.53
H,6.89,2.92
H,7.70,8.68
H,1.93,4.94
H,7.12,0.55
H,7.06,7.83
H,8.22,4.98
H,1.94,0.34
H,3.48,9.31
H,6.38,5.03
H,8.16,8.63
H,3.88,8.04
H,1.04,8.44
H,5.03,7.59
H,9.28,6.18
H,0.81,5.15
H,2.49,7.59
H,2.09,5.02
H,0.00,6.77
H,2.82,3.56
H,9.89,7.32
H,9.60,4.66
H,0.37,9.27
H,1.47,1.21
H,9.65,5.05
H,0.16,7.71
H,7.51,4.93
H,8.05,0.92
H,5.94,8.17
H,6.26,4.95
H,5.45,4.96
H,0.85,4.98
H,6.69,1.50
H,4.11,5.02
H,7.89,4.94
H,8.30,4.98
H,1.18,4.96
H,2.77,0.62
H,7.06,4.98
H,8.57,4.94
H,7.24,9.91
H,4.62,4.97
H,9.79,1.70
H,9.47,7.80
H,5.80,7.24
H,8.22,3.48
H,9.13,4.64
H,0.04,5.01
H,3.66,1.57
H,8.81,1.84
H,7.05,4.95
H,7.06,4.98
H,1.64,0.01
H,8.57,4.94
H,2.95,2.75
H,6.15,7.59
H,2.98,9.19
H,4.24,8.76
H,2.13,7.82
H,3.94,9.29
H,7.03,7.01
H,1.88,8.78
H,8.23,5.03
H,3.30,3.07
H,3.56,3.45
H,6.53,9.85
H,1.24,9.59
H,6.76,1.34
H,2.66,4.94
H,5.55,7.11
H,4.12,2.30
H,2.59,0.24
H,4.41,0.37
H,3.41,5.04
H,0.48,1.00
H,5.06,3.26
H,1.03,3.28
H,3.18,4.87
H,8.24,8.68
H,4.41,5.00
H,4.39,8.48
H,4.44,1.31
H,7.36,3.62
H,0.36,6.71
H,8.01,6.85
H,2.04,7.24
H,7.58,5.84
H,9.65,5.05
H,4.76,7.21
H,7.45,7.20
H,5.74,4.58
H,5.75,7.93
H,0.05,5.01
H,6.91,4.93
H,2.62,5.57
H,0.72,1.47
H,3.60,6.56
H,6.39,2.37
H,6.96,0.04
H,6.55,5.19
H,4.91,8.28
H,5.46,6.70
H,0.48,0.22
H,7.99,7.20
H,6.65,8.38
H,6.65,4.25
H,4.88,7.27
H,7.59,8.68
H,9.32,2.80
H,8.24,6.37
H,6.35,8.09
H,9.00,8.39
H,5.08,4.93
H,3.23,0.47
H,0.21,0.04
H,8.29,4.98
H,8.77,2.80
H,6.70,6.10
H,5.42,2.05
H,0.24,1.21
H,0.98,5.00
H,3.72,1.79
H,5.09,4.38
H,4.37,1.12
H,8.38,5.00
H,1.44,0.68
H,5.39,5.86
H,9.08,4.06
H,9.59,4.76
H,6.24,3.97
H,3.42,5.04
H,6.92,2.03
H,3.36,6.43
H,6.40,4.94
H,1.02,1.02
H,2.89,9.33
